Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
SRSN,Basic Materials,B111,Basic Chemicals,Indo Acidatama Tbk,S,09/30/2022,Dec,U,0,879.08,265.97,613.11,684.31,6.89,4.31,4.31,2.61,101.85,19.13,0.49,0.43,2.0,3.0,2.0
SULI,Basic Materials,B151,Timber,SLJ Global Tbk,S,12/31/2022,Dec,A,WTP,959.7,612.08,347.62,917.97,590.77,236.39,236.08,57.91,85.27,2.16,1.47,1.76,25.0,68.0,26.0
SWAT,Basic Materials,B152,Paper,Sriwahana Adityakarta Tbk,S,09/30/2022,Dec,U,0,695.42,429.69,265.73,246.58,-19.51,-20.7,-20.7,-30.64,88.01,-1.63,0.57,1.62,-13.0,-35.0,-38.0
TALF,Basic Materials,B131,Containers & Packaging,Tunas Alfin Tbk,S,12/31/2022,Dec,A,WTP,1797.28,610.88,1186.41,1318.1,59.51,44.31,42.17,31.15,876.59,14.12,0.5,0.51,2.0,4.0,3.0
TBMS,Basic Materials,B142,Cooper,Tembaga Mulia Semanan Tbk,S,09/30/2022,Dec,U,0,1907.29,976.64,930.65,8354.32,93.76,72.51,72.51,277.14,2533.48,5.57,0.61,1.05,5.0,11.0,1.0
TDPM,Basic Materials,B111,Basic Chemicals,Tridomain Performance Materials Tbk,S,12/31/2021,Dec,A,WTP,3004.7,1955.13,1049.57,1135.28,-1218.92,-1121.77,-1122.67,-107.07,100.1,0.0,1.19,1.86,-37.0,-107.0,-99.0
TINS,Basic Materials,B146,Diversified Metals & Minerals,Timah Tbk,S,12/31/2022,Dec,A,WTP,13066.98,6025.07,7041.9,12504.3,1406.63,1041.56,1041.48,139.84,945.51,7.37,1.09,0.86,8.0,15.0,8.0
TIRT,Basic Materials,B151,Timber,Tirta Mahakam Resources Tbk,S,12/31/2022,Dec,A,WTM,252.1,853.99,-601.89,0.93,-86.09,-86.35,-86.35,-85.34,-594.89,-0.59,-0.08,-1.42,-34.0,0.0,-9333.0
TKIM,Basic Materials,B152,Paper,Pabrik Kertas Tjiwi Kimia Tbk,S,12/31/2022,Dec,A,0,55276.45,20683.29,34593.16,17830.9,7332.12,7224.48,7224.48,2320.58,11111.68,2.9,0.61,0.6,13.0,21.0,41.0
TPIA,Basic Materials,B111,Basic Chemicals,Chandra Asri Petrochemical Tbk,S,12/31/2022,Dec,A,0,76866.55,33066.97,43799.58,37180.54,-2751.6,-2329.43,-2331.6,-21.93,506.29,-106.7,4.62,0.75,-3.0,-5.0,-6.0
