kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p
BNBA;705;570;980;0.2;0.0;0.0;0;0;0.8;921;none;2300570;3388000000;678;731;2388539998208;2729226797056;-84116291584;373352366080;30782242816;805;32
BNBR;46;19;57;0.1;0.0;0.2;0;0;2.0;22;none;43091490;19375200;40;40;7362621997056;843899011072;-243381993472;3402602119168;997148983296;5;71
BNGA;1825;1625;2220;0.5;0.5;0.1;6.224845;293;0.9;1971;buy;5234590;71286896;1874;1903;45869734821888;34636654706688;-14703058223104;16880446210048;27032595464192;1377;33
BNII;228;184;276;0.3;0.7;0.0;0;0;0.6;397;none;1092160;388145984;233;231;17377065435136;15713519534080;-9461735358464;7729919819776;29954848849920;206;47
BNLI;1170;850;1815;0.4;0.3;0.1;0;0;1.0;1164;none;4404910;26880200;983;1161;42332120416256;45582534049792;16562141528064;9910179856384;16121277186048;1259;33
BOLT;1055;550;1200;0.1;1.1;0.1;0;0;3.1;336;none;591300;2343749888;901;1086;2472656240640;55432560640;219299282944;1441451474944;301712736256;23;77
BPFI;312;302;486;0.3;0.4;0.1;0;0;0.8;409;none;18610;2673999872;347;316;834287960064;21185073152;-212276248576;283242201088;819730710528;7;5
BPII;490;488;585;0.2;0.6;0.1;0;0;3.4;142;none;688670;9884149760;524;499;4843233607680;529770086400;585338322944;894052007936;1174137864192;53;2
BRAM;5975;5400;6650;0.1;0.7;0.1;0;0;12218.8;0;none;3010;450056992;5830;5908;2689090453504;25589222;22392188;239677760;7765865;0;46
BRMS;378;127;392;0.3;0.0;0.0;0;0;47250.0;0;hold;1077423920;25570199552;174;241;53594355138560;8365383;28706996;92067000;99453872;0;94
BRNA;650;590;995;0.0;0.0;-0.1;0;0;1.1;599;none;0;979110016;745;695;636421537792;47099977728;75358199808;1008477601792;862777442304;48;14
BRPT;985;873;1946;0.2;0.2;0.0;Infinity;0;54722.2;0;hold;54313330;93704896512;1038;1068;92299325341696;1998596992;30687000;2325064960;4845664256;0;10
BSDE;1175;870;1340;0.3;0.0;0.1;8.84323;132;0.6;1874;buy;16241050;20913399808;1059;1238;24573244342272;8919015489536;1606544654336;14297829736448;11621968642048;426;64
BSIM;835;750;1000;0.1;0.0;0.0;0;0;2.0;412;none;19910;19716200448;870;825;16463026978816;6732266864640;-2853169004544;2788171972608;497254989824;341;34
BSSR;4620;3600;5125;0.2;1.0;0.6;0;0;40526.3;0;none;1243420;2616499968;4078;4680;12088229494784;66431736;84183928;996136256;3492269;0;66
BSWD;3000;1187;3100;0.5;0.0;0.0;0;0;3.2;929;none;0;3688869888;2766;3000;11066609238016;482581544960;-57527382016;202536468480;167270544;130;94
BTEK;4;1;50;-0.0;0.0;-0.1;0;0;0.2;23;none;55156930;46277500928;16;3;185110003712;72282398720;162030977024;515644686336;2840991891456;1;6
BTEL;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTON;366;324;494;0.0;0.0;0.2;0;0;0.9;399;none;8280;720000000;411;422;263519993856;303410544640;13479362560;128226131968;0;421;24
BTPN;2250;2180;2710;0.3;0.2;0.1;9.631437;233;0.5;4403;hold;97980;10645900288;2425;2355;23953275879424;11742280155136;3064166875136;12679765819392;54465570799616;1102;13
BUDI;234;228;294;0.1;0.5;0.1;0;0;0.7;330;none;200290;4498999808;257;232;1052765978624;68672000000;184663998464;3925990965248;1383545044992;15;9
BUKK;975;905;1285;0.2;0.0;0.2;0;0;0.5;1833;none;92320;2640450048;1000;971;2574438891520;227993059328;847365210112;4839687847936;2487478386688;86;18
BULL;106;80;189;0.4;0.0;0.2;0;0;10600.0;0;hold;184174930;14117799936;126;125;1496486772736;7940374;36155544;156077072;153637760;0;23
BUMI;135;69;154;0.0;0.0;0.0;0;0;33750.0;0;none;1513574960;371321012224;94;120;50128337502208;55771196;-4075984;1389519104;301504704;0;77
BUVA;65;49;78;0.4;0.0;-0.0;0;0;1.4;46;none;14225370;20590499840;55;56;1338382483456;124560384000;54253109248;364873613312;548801904640;6;55
BVIC;101;50;112;0.4;0.0;0.0;0;0;0.4;245;none;32875890;15690000384;82;87;1584690102272;937571581952;-1754112458752;605892313088;2764234031104;59;82
BWPT;66;50;73;0.2;0.0;0.1;0;0;0.9;73;none;74241850;31122399232;54;58;2054078332928;30855000064;890126991360;4072057077760;5007392899072;0;69
BYAN;17225;14950;20000;0.3;0.8;0.0;0;0;307589.3;0;none;74040;33333299200;18106;16786;574166059188224;309118976;865210496;3076114688;77576144;0;45
CANI;51;24;80;0.2;0.0;0.0;0;0;0.0;0;none;3940;833440000;45;48;42505441280;658327;587569;3501145;918608;0;48
CASS;1800;680;1820;0.3;0.0;0.5;0;0;3.8;469;none;428360;2086950016;1132;1475;3756510150656;1268738949120;812024004608;2628146954240;64091000832;607;98
CEKA;2190;1800;2260;0.0;0.2;0.1;0;0;0.7;3026;none;114820;595000000;1944;2095;1303050059776;616019329024;211600605184;7195070038016;0;1035;84
CENT;54;30;71;2.3;0.0;0.0;0;0;0.0;-68;none;384400;31183499264;43;50;1683908984832;443803009024;1960619016192;2529879916544;20140632571904;14;58
CFIN;388;380;555;0.2;0.0;0.0;0;0;0.3;1427;none;5019000;3984519936;463;416;1545993715712;28841029632;-631225516032;801183760384;4238250082304;7;4
CINT;183;122;266;0.0;0.0;0.0;0;0;0.7;279;none;2588470;1000000000;153;179;183000006656;16272989184;30746003456;470715695104;86891290624;16;42
CITA;2600;1850;3500;0.1;0.0;0.2;0;0;1.9;1394;none;66910;3960359936;2344;2558;10296935579648;817046224896;128683499520;2722471084032;0;206;45
CLPI;1075;965;1290;0.0;1.1;0.1;0;0;0.6;1763;none;178590;306337984;1049;1072;329313320960;271854043136;70100500480;866592489472;98706685952;887;33
CMNP;1445;1425;1800;0.6;0.0;0.1;0;0;0.7;2214;none;39840;5437499904;1521;1484;7857187586048;83619586048;988664168448;6176040288256;5304104255488;15;5
CMPP;94;52;140;-0.0;0.0;0.0;0;0;0.0;-796;none;104560;10685100032;82;88;1004399427584;43457024000;63856013312;7597249789952;7212263014400;4;47
CNKO;7;4;50;0.1;0.0;0.0;0;0;0.0;-132;none;17592250;115000000;18;6;62694518784;144928866304;76286476288;1787373158400;188836724736;16;6
CNTX;142;122;142;-0.1;0.0;0.0;0;0;0.0;0;none;0;70000000;138;142;9939999744;203107;-1133384;31259252;46000000;0;100
COWL;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPIN;4890;4410;5775;0.0;0.8;0.1;21.166998;231;2.8;1763;buy;7694910;16398000128;5034;4932;80186217332736;3300802953216;2716086042624;64205902315520;9678792687616;201;35
CPRO;50;50;57;0.1;0.0;0.1;0;0;0.8;61;none;116374330;40470700032;50;50;2978620112896;75769004032;408717000704;9149747298304;2219565121536;1;0
CSAP;482;452;695;0.0;0.0;0.1;0;0;0.8;598;none;40400;5683169792;523;486;2739287883776;159439798272;402119229440;17077441134592;4617007529984;28;12
CTBN;2090;990;2600;0.1;0.0;0.2;0;0;15833.3;0;none;5210;800371968;1545;2244;1672777433088;15311852;15515027;206415248;290598;0;68
CTRA;1280;1055;1430;0.2;0.2;0.1;10.454954;122;1.1;1129;buy;21046460;18535700480;1243;1339;23725697138688;10179959586816;3772883927040;9773266239488;7898229899264;551;60
CTTH;25;11;50;0.1;0.0;-0.0;0;0;0.1;171;none;20110;1230840064;18;27;30771001344;4099397888;2955770880;147720454144;320518619136;3;35
DART;169;71;298;0.1;0.0;-0.2;0;0;0.3;505;none;78190;3141390080;140;192;530894913536;33119223808;28159516672;483089317888;3448629886976;10;43
DEFI;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEWA;92;55;117;0.0;0.0;0.0;0;0;0.6;151;none;861116380;21853700096;65;75;2010540408832;226338324480;987329789952;6727925235712;987660681216;10;59
DGIK;85;80;102;0.0;0.0;0.0;0;0;0.7;126;none;8564920;5140950016;88;85;436980744192;8662514688;56903811072;551166214144;21007990784;1;22
DILD;181;151;234;0.2;0.0;0.1;25.857143;7;0.3;539;none;34485450;10365899776;187;204;1876227915776;846237204480;97185120256;2533210718208;4240981360640;81;36
DKFT;214;88;242;0.3;0.0;0.5;0;0;1.6;129;none;99328970;5513489920;112;132;1179886813184;399115747328;448413728768;1276785852416;717024526336;72;81
DLTA;2320;2300;3620;0.2;1.4;0.2;0;0;2.0;1162;none;207640;800659008;2966;2461;1857528922112;612103356416;135317372928;736838615040;0;764;1
DMAS;163;144;177;0.6;0.3;0.3;6.1836114;26;1.1;145;strong_buy;27492830;48198098944;160;162;7856290004992;0;0;2627421601792;0;0;57
DNAR;129;66;210;0.3;0.0;0.0;0;0;0.6;214;none;19892570;16892399616;99;97;2179119579136;677525913600;123513339904;330712875008;560051585024;40;43
DNET;9000;4400;12825;0.3;0.0;0.1;0;0;0.1;95725;none;20510;14183999488;5710;8609;127655999438848;2668383961088;70066003968;1417012051968;6136806768640;18812;54
DOID;670;320;810;0.0;2.1;0.0;3.6322236;184;22333.3;0;strong_buy;5919000;7651010048;557;709;5126176636928;246969712;340049824;1831224704;989799104;0;71
DPNS;336;328;540;-0.0;0.0;0.1;0;0;0.3;1003;none;140130;331129984;384;344;111259672576;203428200448;30306045952;89087967232;0;614;3
DSFI;64;50;79;0.0;0.0;0.0;0;0;0.5;140;none;7989210;1857139968;55;58;118856957952;29118255104;20836913152;567408590848;90192035840;15;48
DSNG;1070;490;1190;0.2;0.2;0.1;0;0;1.2;884;hold;30870310;10599799808;699;914;11341785989120;408025989120;2022070943744;10106529906688;6241981038592;38;82
DSSA;44625;5000;48250;0.3;0.0;0.2;0;0;185166.0;0;none;2288920;6164469760;24837;41964;275089467637760;896694912;804581312;3347412736;751945472;0;91
DUTI;4440;3670;4920;0.3;0.0;0.1;0;0;0.7;5932;none;290;1850000000;4306;4128;8214000173056;3115172757504;567087792128;4158568792064;624075328;1683;61
DVLA;1720;1375;1950;0.1;0.6;0.1;0;0;1.3;1318;none;365050;1120000000;1596;1709;1926400049152;437946220544;319667994624;2134030548992;1152999040;391;60
DYAN;102;76;134;0.1;0.0;0.2;0;0;0.8;131;none;13947790;4272960000;93;113;435841925120;228275519488;185520685056;1534387814400;256815841280;53;44
ECII;195;190;356;-0.0;1.2;-0.0;0;0;0.2;997;none;2353820;1214880000;256;239;236901597184;329189064704;-29664153600;2440677294080;22442815488;283;3
EKAD;230;210;258;0.2;0.0;0.1;0;0;0.7;321;none;228840;3493870080;233;231;803590111232;439381491712;88533172224;514262335488;26688614400;125;41
ELSA;470;370;545;0.1;0.3;0.2;9.475807;49;0.7;637;none;51333690;7298500096;441;482;3430295011328;2448678977536;1851039023104;13021297508352;1238243999744;335;57
ELTY;16;6;50;0.1;0.0;-0.2;0;0;0.1;129;none;70045630;1400000000;20;13;696350408704;90995998720;-35157999616;1192069955584;664646975488;2;22
EMDE;172;77;248;0.4;0.0;0.1;0;0;0.3;539;none;7488990;3350000128;127;146;576200048640;730525925376;343747559424;1006463221760;955742289920;218;55
EMTK;484;350;670;-0.0;0.5;0.0;73.66819;6;0.9;567;buy;88473790;61072801792;431;429;29559235805184;8351968133120;1286620446720;10286025146368;1160587116544;136;41
ENRG;280;159;310;0.2;0.0;0.1;0;0;10769.2;0;none;274797980;24821200896;211;227;6949936037888;82475936;91775328;444039840;347081600;0;80
