Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
NISP,Financials,G111,Banks,PT Bank OCBC NISP Tbk,S,12/31/2023,Dec,A,WTM,249757,212437,37320,17080,5184,4091,4091,178,1626,8,0.84,5.69,2,11,24
NOBU,Financials,G111,Banks,PT Bank Nationalnobu Tbk.,S,12/31/2023,Dec,A,WTM,26622,23287,3335,1625,186,142,142,19,446,40,1.68,6.98,1,4,9
PNBN,Financials,G111,Banks,Bank Pan Indonesia Tbk,S,12/31/2023,Dec,A,WTM,222010,158149,53312,14738,3776,3006,2532,105,2214,11,0.52,2.97,1,5,17
PNBS,Financials,G111,Banks,PT Bank Panin Dubai Syariah Tbk.,S,12/31/2023,Dec,A,WTM,17343,4006,2789,505,248,245,245,6,72,8,0.7,1.44,1,9,48
SDRA,Financials,G111,Banks,PT Bank Woori Saudara Indonesia 1906 Tbk,S,12/31/2023,Dec,A,WTM,54822,44549,10273,3716,908,698,698,81,1199,7,0.46,4.34,1,7,19
ADMF,Financials,G211,Consumer Financing,Adira Dinamika Multi Finance Tbk,S,12/31/2023,Dec,A,WTM,31007,19895,11112,7811,2473,1944,1944,1944,11112,7,1.21,1.79,6,17,25
BBLD,Financials,G211,Consumer Financing,Buana Finance Tbk,S,12/31/2023,Dec,A,WTM,5790,4395,1395,658,132,105,105,64,847,9,0.65,3.15,2,8,16
BFIN,Financials,G211,Consumer Financing,BFI Finance Indonesia Tbk,S,12/31/2023,Dec,A,WTM,23991,14492,9500,5300,2025,1644,1644,103,595,13,2.25,1.53,7,17,31
BPFI,Financials,G211,Consumer Financing,Batavia Prosperindo Finance Tbk,S,12/31/2023,Dec,A,WTM,1850,792,1059,232,107,87,87,32,396,12,0.96,0.75,5,8,37
CFIN,Financials,G211,Consumer Financing,Clipan Finance Indonesia Tbk,S,12/31/2023,Dec,A,WTM,9911,4385,5527,1356,1035,815,815,205,1387,2,0.37,0.79,8,15,60
DEFI,Financials,G211,Consumer Financing,Danasupra Erapacific Tbk,S,09/30/2023,Dec,U,,45,0,45,1,-2,-2,-2,-18,65,-79,22.22,0.01,-28,-28,-1068
FUJI,Financials,G211,Consumer Financing,Fuji Finance Indonesia Tbk,S,12/31/2023,Dec,A,WTM,165,3,161,11,4,4,4,3,124,77,1.85,0.02,2,2,36
HDFA,Financials,G211,Consumer Financing,Radana Bhaskara Finance Tbk,S,09/30/2023,Dec,U,,2262,1577,686,161,17,13,13,4,105,26,1.02,2.3,1,4,17
MFIN,Financials,G211,Consumer Financing,Mandala Multifinance Tbk,S,12/31/2023,Dec,A,WTM,6664,3267,3396,2163,527,423,423,160,1282,20,2.48,0.96,6,12,20
POLA,Financials,G211,Consumer Financing,Pool Advista Finance Tbk,S,12/31/2023,Dec,A,WTM,245,9,236,15,-12,-17,-17,-5,71,-7,0.52,0.04,-7,-7,-110
TIFA,Financials,G211,Consumer Financing,KDB Tifa Finance Tbk,S,12/31/2023,Dec,A,WTM,1801,652,1150,163,75,60,60,17,324,33,1.7,0.57,3,5,37
TRUS,Financials,G211,Consumer Financing,Trust Finance Indonesia Tbk,S,12/31/2023,Dec,A,WTM,428,50,377,55,33,26,26,32,472,14,0.94,0.13,6,7,47
VRNA,Financials,G211,Consumer Financing,Verena Multi Finance Tbk,S,12/31/2023,Dec,A,WTM,2794,2043,750,321,61,61,61,11,132,8,0.69,2.72,2,8,19
WOMF,Financials,G211,Consumer Financing,Wahana Ottomitra Multiartha Tbk,S,12/31/2023,Dec,A,WTM,6636,4940,1696,1752,320,236,141,41,487,10,0.86,2.91,2,8,8
AMOR,Financials,G311,Investment Management,Ashmore Asset Management Indonesia Tbk,S,12/31/2023,Jun,U,,361,73,288,164,65,52,52,44,130,22,7.45,0.25,27,34,60
PADI,Financials,G312,Investment Banking & Brokerage Services,Minna Padi Investama Sekuritas Tbk,S,09/30/2023,Dec,U,,201,22,179,2,-11,-11,-11,-3,16,-3,0.57,0.13,-19,-22,-2262
PANS,Financials,G312,Investment Banking & Brokerage Services,Panin Sekuritas Tbk,S,12/31/2023,Dec,A,WTM,2235,669,1566,397,170,138,130,181,2175,9,0.74,0.43,6,8,33
RELI,Financials,G312,Investment Banking & Brokerage Services,Reliance Sekuritas Indonesia Tbk,S,12/31/2023,Dec,A,WTM,759,129,630,41,35,36,36,20,350,24,1.38,0.2,5,6,88
TRIM,Financials,G312,Investment Banking & Brokerage Services,Trimegah Sekuritas Indonesia Tbk,S,12/31/2023,Dec,A,WTM,2873,1655,1218,713,208,163,162,23,171,12,1.54,1.36,6,13,23
YULE,Financials,G312,Investment Banking & Brokerage Services,Yulie Sekuritas Indonesia Tbk,S,12/31/2023,Dec,A,WTM,566,40,526,50,23,27,27,15,295,155,7.98,0.08,5,5,54
ABDA,Financials,G412,General Insurance,Asuransi Bina Dana Arta Tbk,S,09/30/2023,Dec,U,,2545,1066,1479,724,61,45,45,88,2382,57,2.1,0.72,2,4,8
AHAP,Financials,G412,General Insurance,Asuransi Harta Aman Pratama Tbk,S,12/31/2023,Dec,A,WTM,998,782,216,787,1,5,5,1,44,122,2.81,3.62,0,2,1
AMAG,Financials,G412,General Insurance,Asuransi Multi Artha Guna Tbk,S,12/31/2023,Dec,A,WTM,5116,3410,1706,2820,158,148,148,30,341,10,0.89,2.0,3,9,5
ASBI,Financials,G412,General Insurance,Asuransi Bintang Tbk,S,09/30/2023,Dec,U,,992,594,390,362,12,12,12,33,1120,24,0.7,1.52,1,3,3
ASDM,Financials,G412,General Insurance,Asuransi Dayin Mitra Tbk,S,12/31/2023,Dec,A,WTM,983,611,372,1353,25,21,21,55,968,9,0.53,1.64,2,6,2
