Code;Stock Name;SD/BS;Currency;Cash Dividend;Cum Dividend;Ex Dividend;Record Date;Payment Date;Note
SCPI;Organon Pharma Indonesia Tbk;;IDR;50000;06/14/2023;06/15/2023;06/16/2023;07/07/2023;F
TSPC;Tempo Scan Pacific Tbk;;IDR;100;06/12/2023;06/13/2023;06/14/2023;07/03/2023;F
UNVR;Unilever Indonesia Tbk.;;IDR;71;07/05/2023;07/06/2023;07/07/2023;07/20/2023;F
KDSI;Kedawung Setia Industrial Tbk;;IDR;75;07/10/2023;07/11/2023;07/12/2023;07/21/2023;F
JRPT;Jaya Real Property Tbk;;IDR;21;06/16/2023;06/19/2023;06/20/2023;07/07/2023;F
PWON;Pakuwon Jati Tbk;;IDR;6,5;07/10/2023;07/11/2023;07/12/2023;07/27/2023;F
JKON;Jaya Konstruksi Manggala Pratama Tbk;;IDR;3;06/15/2023;06/16/2023;06/19/2023;07/07/2023;F
SMDR;Samudera Indonesia Tbk;;IDR;30;07/10/2023;07/11/2023;07/12/2023;07/31/2023;F
SMDR;Samudera Indonesia Tbk;;IDR;4;08/08/2023;08/09/2023;08/10/2023;08/30/2023;I
ELSA;Elnusa Tbk;;IDR;25,9;06/14/2023;06/15/2023;06/16/2023;07/06/2023;F
BBLD;Buana Finance Tbk;;IDR;16;06/27/2023;07/03/2023;07/04/2023;07/12/2023;F
PANS;Panin Sekuritas Tbk;;IDR;250;07/06/2023;07/07/2023;07/10/2023;07/18/2023;F
ASBI;Asuransi Bintang Tbk;;IDR;5;07/10/2023;07/11/2023;07/12/2023;07/26/2023;F
ASDM;Asuransi Dayin Mitra Tbk;;IDR;66;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
AMAG;Asuransi Multi Artha Guna Tbk;;IDR;20;07/05/2023;07/06/2023;07/07/2023;07/21/2023;F
ASRM;Asuransi Ramayana Tbk;;IDR;65;07/05/2023;07/06/2023;07/07/2023;07/26/2023;F
LPGI;Lippo General Insurance Tbk;;IDR;54;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
FISH;FKS Multi Agro Tbk;;IDR;470;07/10/2023;07/11/2023;07/12/2023;07/27/2023;F
SMMT;Golden Eagle Energy Tbk;;IDR;47;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
PGLI;Pembangunan Graha Lestari Indah Tbk;;IDR;1;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
JTPE;Jasuindo Tiga Perkasa Tbk;;IDR;7,5;06/22/2023;06/23/2023;06/26/2023;07/03/2023;F
SCMA;Surya Citra Media Tbk;;IDR;6,5;06/22/2023;06/23/2023;06/26/2023;07/14/2023;F
RUIS;Radiant Utama Interinsco Tbk;;IDR;3,5;07/06/2023;07/07/2023;07/10/2023;07/27/2023;F
SCCO;Supreme Cable Manufacturing & Commerce Tbk;;IDR;150;06/14/2023;06/15/2023;06/16/2023;07/06/2023;F
BRPT;Barito Pacific Tbk;;IDR;1,59;06/20/2023;06/21/2023;06/22/2023;07/14/2023;F
IMAS;Indomobil Sukses Internasional Tbk;;IDR;10;07/07/2023;07/10/2023;07/11/2023;08/02/2023;F
ERTX;Eratex Djaja Tbk;;IDR;11,66;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
BPFI;Batavia Prosperindo Finance Tbk;;IDR;3,88;07/10/2023;07/11/2023;07/12/2023;08/02/2023;F
GTBO;Garda Tujuh Buana Tbk;;IDR;6,13342;07/10/2023;07/11/2023;07/12/2023;07/28/2023;F
MKPI;Metropolitan Kentjana Tbk;;IDR;445;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
EMTK;Elang Mahkota Teknologi Tbk;;IDR;5;06/22/2023;06/23/2023;06/26/2023;07/14/2023;F
MICE;Multi Indocitra Tbk;;IDR;5;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
BAYU;Bayu Buana Tbk;;IDR;50;06/26/2023;06/27/2023;07/03/2023;07/18/2023;F
TBIG;PT Tower Bersama Infrastructure Tbk;;IDR;35,3455;06/12/2023;06/13/2023;06/14/2023;07/05/2023;F
MFMI;Multifiling Mitra Indonesia Tbk;;IDR;27;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
ICBP;Indofood CBP Sukses Makmur Tbk;;IDR;188;07/06/2023;07/07/2023;07/10/2023;07/25/2023;F
MTLA;Metropolitan Land Tbk;;IDR;10,3;06/19/2023;06/20/2023;06/21/2023;07/03/2023;F
ALDO;Alkindo Naratama Tbk;;IDR;1;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
GEMS;Golden Energy Mines Tbk;;IDR;0,06;08/31/2023;09/01/2023;09/04/2023;09/12/2023;I
ERAA;Erajaya Swasembada Tbk;;IDR;19;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
KOBX;Kobexindo Tractors Tbk;;IDR;10;06/22/2023;06/23/2023;06/26/2023;07/10/2023;F
TOBA;TBS Energi Utama Tbk;;USD;0,00085;06/16/2023;06/19/2023;06/20/2023;07/12/2023;F
BSSR;Baramulti Suksessarana Tbk;;IDR;-;09/14/2023;09/15/2023;09/18/2023;09/26/2023;I
ISSP;Steel Pipe Industry of Indonesia Tbk;;IDR;6;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
ANJT;PT Austindo Nusantara Jaya Tbk.;;IDR;27,8;06/15/2023;06/16/2023;06/19/2023;07/07/2023;F
BBMD;PT Bank Mestika Dharma Tbk.;;IDR;34,27;06/15/2023;06/16/2023;06/19/2023;07/07/2023;F
ECII;Electronic City Indonesia Tbk;;IDR;5;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
IMJS;Indomobil Multi Jasa Tbk;;IDR;0,5;07/07/2023;07/10/2023;07/11/2023;08/02/2023;F
DSNG;PT Dharma Satya Nusantara Tbk.;;IDR;30;06/16/2023;06/19/2023;06/20/2023;07/06/2023;F
TALF;Tunas Alfin Tbk;;IDR;5;06/27/2023;07/03/2023;07/04/2023;07/17/2023;F
BALI;PT Bali Towerindo Sentra Tbk.;;IDR;32,34;06/12/2023;06/13/2023;06/14/2023;07/03/2023;F
BIRD;PT Blue Bird Tbk;;IDR;72;07/05/2023;07/06/2023;07/07/2023;07/27/2023;F
