Kode,P,Current,L,H,OpMargin,DevPR,RoE
DOOH,9,69,50,252,8,0,1
DPNS,10,400,378,585,12,0,4
DPUM,31,26,15,50,0,0,-5
DRMA,52,1225,575,1815,14,14,42
DSFI,5,62,60,96,3,0,5
DSNG,2,510,505,730,15,38,10
DSSA,84,143525,33950,163000,12,0,54
DUCK,17,176,173,190,-20,0,4
DUTI,50,4560,4160,4950,41,0,13
DVLA,33,1665,1400,2200,0,160,5
DWGL,16,109,83,242,9,0,28
DYAN,5,77,73,143,3,0,13
EAST,56,145,95,184,42,0,14
ECII,5,272,260,486,-2,38,1
EDGE,3,3590,3300,11550,32,0,19
EKAD,18,250,240,294,17,0,6
ELIT,3,85,76,330,2,0,0
ELPI,58,282,204,338,24,19,9
ELSA,63,398,292,460,5,38,11
ELTY,0,50,50,50,3,0,-10
EMDE,24,127,101,206,-35,0,-3
EMTK,3,484,458,1185,-1,26,-1
ENAK,56,1295,950,1560,-1,86,11
ENRG,7,202,193,308,26,0,12
ENVY,0,50,50,51,-36745,0,-169
ENZO,0,50,50,55,2,0,0
EPAC,6,9,6,50,-10,0,-32
EPMT,15,2610,2500,3200,3,77,10
ERAA,41,432,326,580,1,36,12
ERAL,25,302,242,480,7,0,22
ERTX,37,244,122,446,3,0,16
ESIP,0,50,50,59,2,0,0
ESSA,3,505,480,1130,19,128,13
ESTA,8,75,69,136,13,0,2
ESTI,0,50,50,65,6,0,2
ETWA,0,70,70,372,-96427,0,0
EURO,15,115,65,396,8,0,0
EXCL,71,2310,1695,2560,13,46,4
FAPA,93,5300,4270,5375,12,0,7
FAST,10,730,700,995,-11,0,-21
FASW,29,5800,5550,6400,-10,245,-13
FILM,93,5875,610,6250,27,0,5
FIMP,34,57,43,84,-9,0,6
FIRE,32,104,53,210,19,0,-38
FISH,5,5550,5450,7300,2,54,17
FITT,58,560,412,665,-26,0,-18
FLMC,20,37,26,79,-27,0,0
FMII,1,256,235,1412,45,0,3
FOLK,10,59,50,135,-6,0,0
FOOD,64,135,79,166,-35,0,-55
FORU,100,366,130,366,-11,0,-8
FORZ,0,50,50,50,-18,0,4
FPNI,24,194,177,246,1,0,3
FREN,0,50,50,70,5,0,-7
FUJI,44,262,175,370,68,0,2
FUTR,0,50,50,177,17,0,0
FWCT,20,72,50,155,13,0,0
GAMA,0,18,18,50,-219,0,-3
GDST,18,125,105,212,8,0,21
GDYR,16,1300,1250,1560,7,0,10
GEMA,24,238,165,460,4,0,9
GEMS,14,5825,5475,7975,12,71,114
GGRM,0,19675,19575,30050,6,40,9
GGRP,20,438,392,615,2,0,3
GHON,23,1815,1700,2190,65,0,13
GIAA,30,67,50,106,12,0,0
GJTL,60,1080,570,1415,14,0,9
GLOB,11,96,92,126,0,0,0
GLVA,4,448,418,1100,5,0,23
GMFI,55,79,50,102,7,0,0
GMTD,3,3080,2387,23875,43,0,14
GOLD,22,288,228,492,40,0,4
GOLL,0,50,50,50,0,0,0
GOOD,36,432,394,498,8,43,15
GOTO,38,90,54,147,-74,0,-22
GPRA,12,93,88,128,35,5,7
GPSO,27,127,100,200,-83,0,-4
GRIA,44,114,76,162,4,0,0
GRPH,-97,0,66,134,0,0,0
GRPM,3,48,46,108,0,0,0
GSMF,32,63,52,86,3,0,0
GTBO,30,390,106,1025,18,6,29
GTRA,2,172,164,442,30,0,0
GTSI,0,50,50,60,-35,0,11
GULA,21,340,240,700,2,0,2
GWSA,1,146,145,210,-84,0,0
GZCO,28,107,79,179,32,0,8
HADE,2,4,3,50,-2,0,-4
HAIS,30,226,175,344,14,0,27
HAJJ,3,134,120,575,6,0,13
HALO,0,50,50,328,19,0,44
HATM,47,290,190,402,34,15,24
HBAT,3,38,35,118,43,0,63
