kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
BDKR;515.0;226.0;620.0;0.17672001;0.0;0.0;0.0;0.0;3.1961572;161.131;none;17573710.0;4724870144.0;475.67;516.7;2433308164096.0;115559964672.0;-22502791168.0;578411626496.0;208947380224.0;24.55;73.3502538071066;2024-03-07 18:46:58
BDMN;2880.0;2600.0;3320.0;0.30747998;0.32990003;0.07508;6.4222636;448.44;0.5716849;5037.74;hold;2414330.0;22400000.0;2867.55;2843.4;28147823149056.0;16710770884608.0;-20697019580416.0;15811416686592.0;15742291410944.0;1709.795;38.888888888888886;2024-03-07 18:46:58
BEBS;50.0;50.0;595.0;-0.16283001;0.0;0.06677;0.0;0.0;2.661698;18.785;none;19910.0;44999999488.0;61.29;50.0;2250000039936.0;1772253184.0;194745188352.0;379723087872.0;0.0;0.039;0.0;2024-03-07 18:46:58
BEEF;274.0;58.0;290.0;0.08856;0.0;0.0;0.0;0.0;13.986014;19.591;none;1012270.0;7031370240.0;159.02;239.64;1926595477504.0;5193402368.0;25422465024.0;400991289344.0;594434752.0;0.739;93.10344827586208;2024-03-07 18:46:58
BEER;262.0;220.0;414.0;0.04146;0.0;0.095;0.0;0.0;4.6208115;56.7;none;71930.0;4000000000.0;309.47;270.04;1048000004096.0;32817244160.0;-129309728768.0;54109908992.0;2118035456.0;8.204;21.649484536082475;2024-03-07 18:46:58
BEKS;50.0;50.0;50.0;0.59389997;0.0;0.01606;0.0;0.0;1.5538566;32.178;none;962100.0;1075510016.0;50.0;50.0;320546996224.0;580958027776.0;258646999040.0;289301987328.0;153883000832.0;11.2;0.0;2024-03-07 18:46:58
BELI;476.0;418.0;496.0;-0.23758;0.0;-0.48131;0.0;0.0;7.335039;64.894;hold;3170300.0;120765997056.0;463.91;477.84;57484614041600.0;1962368958464.0;-3921362026496.0;16208036364288.0;1530601013248.0;16.561;74.35897435897435;2024-03-07 18:46:58
BELL;70.0;65.0;144.0;0.036459997;0.0;0.026819998;0.0;0.0;2.2047243;31.75;none;2014350.0;7239649792.0;93.97;73.9;506775470080.0;8533056000.0;43450380288.0;508636332032.0;149006303232.0;1.179;6.329113924050633;2024-03-07 18:46:58
BESS;224.0;124.0;260.0;0.17965001;0.0;0.14171;0.0;0.0;1.4236956;157.337;none;16860720.0;3440460032.0;173.95;210.64;770663055360.0;103598972928.0;127497175040.0;361213427712.0;109108396032.0;30.112;73.52941176470588;2024-03-07 18:46:58
BEST;134.0;123.0;195.0;0.27214;0.0;0.0091699995;6.6009855;20.3;0.29187733;459.097;hold;12378200.0;9647309824.0;151.06;135.24;1292739543040.0;496168894464.0;148785971200.0;547275571200.0;1450420731904.0;51.431;15.277777777777779;2024-03-07 18:46:58
BFIN;1300.0;955.0;1535.0;0.46888;0.5505;0.18009001;8.754209;148.5;2.0582159;631.615;buy;16823960.0;15039399936.0;1222.075;1240.2;19551219613696.0;1796315938816.0;276677001216.0;4387709124608.0;13386635018240.0;119.441;59.48275862068966;2024-03-07 18:46:58
BGTG;73.0;60.0;106.0;0.52461;0.0;0.02892;0.0;0.0;0.5467755;133.51;none;6008830.0;23971000320.0;76.185;74.12;1749883027456.0;2065513054208.0;-453007015936.0;299346001920.0;18424000512.0;86.167;28.26086956521739;2024-03-07 18:46:58
BHAT;412.0;366.0;860.0;0.0735;0.0;0.00421;0.0;0.0;3.881227;106.152;none;117535810.0;5000000000.0;532.86;422.04;2060000034816.0;740950605824.0;-10854339584.0;163942268928.0;248519753728.0;148.19;9.311740890688258;2024-03-07 18:46:58
BHIT;50.0;50.0;64.0;0.08133;0.0;0.0348;0.0;0.0;0.2422105;206.432;none;1464720.0;83542695936.0;51.315;50.0;4177134878720.0;8809473900544.0;2059077943296.0;16379844493312.0;12945424646144.0;105.449;0.0;2024-03-07 18:46:58
BIKA;55.0;50.0;95.0;-0.0387;0.0;0.0;0.0;0.0;0.0;-205.647;none;15220.0;592280000.0;65.62;52.18;32575399936.0;83958726656.0;-56853938176.0;538074251264.0;1407254265856.0;141.755;11.11111111111111;2024-03-07 18:46:58
BIKE;434.0;189.0;530.0;0.01272;0.0;0.05598;0.0;0.0;4.7708035;90.97;none;10811410.0;1293389952.0;363.375;420.8;561331240960.0;14063373.0;3943643392.0;414532993024.0;11656844288.0;0.011;71.8475073313783;2024-03-07 18:46:58
BIMA;88.0;56.0;165.0;-0.0046900003;0.0;-0.012920001;0.0;0.0;0.63516355;138.547;none;186070.0;608176000.0;93.02;91.96;53519486976.0;2415779328.0;-9848576000.0;95840698368.0;118489161728.0;3.972;29.357798165137613;2024-03-07 18:46:58
BINA;4200.0;3610.0;4400.0;0.39466998;0.0;0.07885;0.0;0.0;7.3526707;571.221;none;79310.0;6134720000.0;4051.5;4208.4;25765823381504.0;6358189998080.0;-4443498086400.0;656477978624.0;68541001728.0;1036.428;74.68354430379746;2024-03-07 18:46:58
BINO;130.0;105.0;135.0;0.060760003;0.0;0.01944;0.0;0.0;0.6400536;203.108;none;536270.0;2175020032.0;123.275;126.82;282752614400.0;11319379968.0;5561546752.0;347628208128.0;53024587776.0;5.204;83.33333333333334;2024-03-07 18:46:58
BIPI;82.0;70.0;169.0;0.15963;0.0;0.03993;5.17024;15.86;10250.0;0.008;buy;192218300.0;60059398144.0;111.415;94.46;5224236318720.0;366443008.0;200903760.0;502054048.0;844444416.0;0.006;12.121212121212121;2024-03-07 18:46:58
BIPP;50.0;50.0;51.0;0.25765;0.0;0.013660001;0.0;0.0;0.3191992;156.642;none;310.0;1638220032.0;50.0;50.0;251433500672.0;219936964608.0;40669192192.0;269711015936.0;579967909888.0;43.737;0.0;2024-03-07 18:46:58
BIRD;1760.0;1595.0;2430.0;0.11908;0.38709998;0.08672;8.477841;207.6;0.81017584;2172.368;buy;1617020.0;2502099968.0;1981.75;1760.1;4403695714304.0;881849991168.0;1094235979776.0;4310668935168.0;870585991168.0;352.444;19.76047904191617;2024-03-07 18:46:58
BISI;1720.0;1350.0;1775.0;0.31966;0.4678;0.14621;0.0;0.0;1.663776;1033.793;none;375190.0;3000000000.0;1566.8;1585.4;5160000028672.0;1111835017216.0;295219003392.0;2047221956608.0;672000000.0;370.612;87.05882352941177;2024-03-07 18:46:58
BJBR;1195.0;1105.0;1395.0;0.20735;0.6185;0.11135;5.8292685;205.0;0.8080833;1478.808;buy;2288920.0;3106729984.0;1168.325;1181.9;12573073211392.0;8614785843200.0;-2519378952192.0;8216451219456.0;30585686851584.0;818.784;31.03448275862069;2024-03-07 18:46:58
BJTM;600.0;595.0;745.0;0.34072;0.5422;0.1246;6.7643747;88.7;0.741441;809.235;strong_buy;10152670.0;3081349888.0;638.875;642.9;9009299980288.0;22923704270848.0;-5366747758592.0;5009689804800.0;10319981182976.0;1526.67;3.3333333333333335;2024-03-07 18:46:58
BKDP;52.0;50.0;88.0;-0.23823999;0.0;-0.06533;0.0;0.0;0.9951582;52.253;none;1330830.0;7513990144.0;53.505;53.24;390727499776.0;3290061056.0;-34735824896.0;24909553664.0;149999992832.0;0.438;5.2631578947368425;2024-03-07 18:46:58
BKSL;54.0;50.0;60.0;0.01652;0.0;-0.0036300002;0.0;0.0;0.6485318;83.265;none;110324200.0;357500000.0;50.565;51.18;9056285622272.0;150624698368.0;-3933987930112.0;554113040384.0;2212352491520.0;0.898;40.0;2024-03-07 18:46:58
BKSW;72.0;71.0;118.0;0.02884;0.0;0.01482;0.0;0.0;0.43306446;166.257;none;758550.0;35157999616.0;83.595;77.72;2531375972352.0;4277754920960.0;4858562740224.0;573674029056.0;386888990720.0;151.596;2.127659574468085;2024-03-07 18:46:58
BLTA;50.0;50.0;50.0;0.26642;0.0;0.35755002;0.0;0.0;24999.998;0.002;none;36650.0;23452299264.0;50.0;50.0;1172614938624.0;9117233.0;9089098.0;37718584.0;26048492.0;0.0;0.0;2024-03-07 18:46:58
BLTZ;1885.0;1800.0;3900.0;0.05091;0.0;-0.1712;0.0;0.0;3.783226;498.252;none;1160.0;546710016.0;2146.625;2029.7;1647371354112.0;159305908224.0;174406811648.0;1061106155520.0;1468231057408.0;182.285;4.0476190476190474;2024-03-07 18:46:58
BLUE;362.0;276.0;525.0;0.20661;0.0;0.21284;0.0;0.0;1.6697109;216.804;none;61620.0;418000000.0;369.325;360.76;151316004864.0;3588813568.0;19529207808.0;143839494144.0;0.0;8.586;34.53815261044176;2024-03-07 18:46:58
