kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
GMFI;78.0;50.0;102.0;0.07732;0.0;0.0;0;0.0;0.0;-0.012;none;1768400.0;72.64;18628142.0;29112278.0;338115232.0;461571680.0;0.001
GMTD;4200.0;1485.0;5225.0;0.43098998;0.0036000002;0.14015001;0;0.0;6.5789785;638.397;none;870.0;2086.875;13378781184.0;38403194880.0;459146035200.0;1260000000.0;13.176
GOLD;304.0;228.0;492.0;0.40437;0.0;0.043720003;0;0.0;1.0207886;297.809;none;337590.0;327.13;59312312320.0;29385312256.0;47595802624.0;1962550016.0;46.437
GOLL;50.0;50.0;50.0;0.0;0.0;0.0;0;0.0;0.0;0.0;none;0.0;50.0;0.0;0.0;0.0;0.0;0.0
GOOD;420.0;394.0;494.0;0.116280004;0.3802;0.16568;0;0.0;4.511375;93.098;none;612520.0;436.05;1116570124288.0;863578030080.0;10543572189184.0;1914930855936.0;30.273
GOTO;74.0;54.0;147.0;-0.74178004;0.0;-0.22819;-13.909774;-5.32;0.66794837;110.787;buy;3820645770.0;92.33;25470275944448.0;-7573514747904.0;13890994831360.0;2203107983360.0;23.888
GPRA;91.0;88.0;128.0;0.35298002;0.05;0.07017;0;0.0;0.32845345;277.056;none;4341770.0;100.645;64918437888.0;21289695232.0;411592261632.0;244621492224.0;15.18
GPSO;126.0;100.0;200.0;-0.83615;0.0;-0.04689;0;0.0;1.7747728;70.995;none;8804430.0;125.75;916208832.0;-1994987648.0;15675396096.0;0.0;1.374
GRIA;113.0;76.0;162.0;0.04552;0.0;0.0;0;0.0;2.170781;52.055;none;587130.0;109.01351;8685122560.0;8704075776.0;45147783168.0;137314000896.0;1.178
GRPH;0.0;50.0;134.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;11181260.0;68.80645;0.0;0.0;0.0;0.0;0.0
GRPM;47.0;35.0;108.0;0.00102;0.0;0.0;0;0.0;1.0634928;44.194;none;2204790.0;59.47929;49236832256.0;6728233472.0;307518144512.0;0.0;31.868
GSMF;58.0;52.0;86.0;0.03274;0.0;5e-05;0;0.0;0.33774143;171.729;none;57800.0;64.93;1719573020672.0;996580982784.0;1442009055232.0;92376997888.0;120.838
GTBO;400.0;106.0;1025.0;0.18004999;0.0679;0.29826;0;0.0;17391.305;0.023;none;1373840.0;419.655;8620602.0;12506441.0;59977272.0;1246397.0;0.003
GTRA;126.0;109.0;442.0;0.30274;0.0;0.0;0;0.0;0.895446;140.712;none;5974340.0;261.025;12850012160.0;41031045120.0;298593419264.0;609368997888.0;6.783
GTSI;50.0;50.0;60.0;-0.35084;0.0;0.11931;0;0.0;16666.666;0.003;none;57892780.0;50.985;23591408.0;11039468.0;27113060.0;27886336.0;0.001
GULA;436.0;240.0;700.0;0.02115;0.0;0.02372;0;0.0;3.1318016;139.217;none;4413810.0;361.87;49173311488.0;-4338556928.0;325879365632.0;73426550784.0;45.941
GWSA;148.0;144.0;210.0;-0.84865;0.0;0.00306;0;0.0;0.16435842;900.471;none;125380.0;162.4;165032984576.0;-151093264384.0;55082151936.0;540668231680.0;21.156
GZCO;95.0;79.0;179.0;0.32951;0.0;0.08294;0;0.0;0.5103027;186.164;none;40659040.0;99.235;66920001536.0;190712004608.0;732890988544.0;256629997568.0;11.153
HADE;3.0;3.0;50.0;-0.02309;0.0;-0.046729997;0;0.0;0.798722;3.756;none;1278900.0;9.37;1541756160.0;-1020605376.0;4009348096.0;0.0;0.727
HAIS;232.0;175.0;344.0;0.18040001;0.0;0.26139;0;0.0;0.9175509;252.847;none;4700370.0;258.24;148154089472.0;146689605632.0;941907771392.0;155167637504.0;56.413
HAJJ;135.0;120.0;575.0;0.06795;0.0;0.13044;0;0.0;1.9428933;69.484;none;800450.0;162.6;747660800.0;-103410704384.0;442280017920.0;18554810368.0;0.326
HALO;50.0;50.0;328.0;0.19660999;0.0;0.44233;0;0.0;1.64042;30.48;none;278990.0;71.12;14513970176.0;-104733360128.0;284793995264.0;28319789056.0;2.569
HATM;360.0;190.0;402.0;0.34171;0.1559;0.24931999;0;0.0;3.1357245;114.806;none;47226610.0;268.61;86259703808.0;174157840384.0;500112359424.0;132499996672.0;12.323
HBAT;36.0;33.0;118.0;0.43919;0.0;0.63839;0;0.0;0.74597484;48.259;none;1031030.0;45.127518;0.0;-7842203648.0;33864030208.0;0.0;0.0
HDFA;97.0;95.0;202.0;0.02477;0.0;0.04022;0;0.0;0.9257227;104.783;none;32200.0;116.9;54265507840.0;-681566470144.0;102134210560.0;1526661120000.0;8.294
HDIT;50.0;50.0;59.0;0.00092;0.0;-0.058319997;0;0.0;0.23145898;216.021;none;670.0;50.0;151326400.0;-18474102784.0;2750350360576.0;20322856960.0;0.099
HDTX;120.0;120.0;120.0;0.0;0.0;0.0;0;0.0;0.0;0.0;none;0.0;120.0;0.0;0.0;0.0;0.0;0.0
HEAL;1260.0;1195.0;1575.0;0.17567;0.2533;0.10572;29.71698;42.4;4.940905;255.014;buy;7082250.0;1404.05;915274006528.0;1167232991232.0;5489476239360.0;2244164976640.0;63.159
HELI;462.0;70.0;500.0;-0.0036300002;0.0;-1.0631;0;0.0;8.906024;51.875;none;6466620.0;227.56;2426012928.0;10781879296.0;49035341824.0;122011197440.0;2.913
HERO;800.0;720.0;1610.0;0.00509;0.0;-0.373;0;0.0;3.5042074;228.297;none;75990.0;1133.8;66109001728.0;-37299998720.0;5007224078336.0;4424091041792.0;15.802
HEXA;6075.0;4990.0;6950.0;0.11991;0.6987;0.37931;303750.0;0.02;30375.0;0.2;none;360290.0;5910.0;19547270.0;84947680.0;698410880.0;104751744.0;0.023
HILL;2250.0;1535.0;4000.0;0.19316;0.0;0.34797;0;0.0;4.5162497;498.201;strong_buy;2049100.0;2572.8;127041003520.0;234223992832.0;3981098090496.0;1912558977024.0;43.09
HITS;368.0;170.0;680.0;0.04024;0.0;0.15161;0;0.0;30666.666;0.012;none;1183290.0;404.215;43288056.0;48454872.0;109601664.0;73976648.0;0.006
HKMU;50.0;50.0;50.0;-1.29574;0.0;-1.6853;0;0.0;7.518797;6.65;none;0.0;50.0;2328043520.0;-13054386176.0;189451452416.0;263088799744.0;0.723
HMSP;850.0;835.0;1235.0;0.21097;0.84150004;0.27886;10.962084;77.54;3.53144;240.695;buy;20480820.0;907.225;3781114986496.0;9584739614720.0;53341396664320.0;554320003072.0;32.507
HOKI;170.0;68.0;204.0;-0.04601;5.2632003;-0.02214;0;0.0;2.5349298;67.063;none;25658810.0;131.135;175594995712.0;117868380160.0;1149951279104.0;196830887936.0;18.144
HOME;50.0;50.0;50.0;0.0;0.0;0.0;0;0.0;0.0;0.0;none;0.0;50.0;0.0;0.0;0.0;0.0;0.0
HOMI;202.0;193.0;1015.0;0.15597;0.0;0.051620003;0;0.0;2.3884974;84.572;none;297380.0;439.0;2894167552.0;16626480128.0;69125480448.0;21394388992.0;1.838
